STD_NO,MAJOR_EDESC,GENDER_EDESC,TAWJIH_COUNTRY,TAWJIH_GPA,TAWJIH_BRANCH
357046,Data Science & Artificial Intelligence,Male,Jordan,98,SAT2 Sci.
357244,Data Science & Artificial Intelligence,Female,K.S.A,97,Scientific
357409,Data Science & Artificial Intelligence,Male,Jordan,94,Scientific
357420,Data Science & Artificial Intelligence,Male,K.S.A,90,Scientific
356980,Data Science & Artificial Intelligence,Female,K.S.A,95,Scientific
357123,Data Science & Artificial Intelligence,Male,Jordan,93,Scientific
357926,Data Science & Artificial Intelligence,Male,Qatar,98,Scientific
358179,Data Science & Artificial Intelligence,Male,Jordan,94,GCE Sci
358366,Data Science & Artificial Intelligence,Male,Jordan,95,SAT2 Sci.
358388,Data Science & Artificial Intelligence,Male,K.S.A,90,Scientific
350622,Data Science & Artificial Intelligence,Male,Jordan,90,Scientific
351524,Data Science & Artificial Intelligence,Female,U.A.E,98,GCE Sci
358949,Data Science & Artificial Intelligence,Female,Jordan,90,Scientific
358982,Data Science & Artificial Intelligence,Male,K.S.A,91,Scientific
359026,Data Science & Artificial Intelligence,Male,Jordan,98,SAT2 Sci.
359048,Data Science & Artificial Intelligence,Female,U.A.E,97,GCE Sci
359235,Data Science & Artificial Intelligence,Male,Jordan,97,SAT2 Sci.
359301,Data Science & Artificial Intelligence,Male,Jordan,84,IB Scie
359312,Data Science & Artificial Intelligence,Female,Jordan,92,GCE Sci
357684,Data Science & Artificial Intelligence,Female,Jordan,98,SAT2 Sci.
357761,Data Science & Artificial Intelligence,Male,Jordan,81,Scientific
358025,Data Science & Artificial Intelligence,Female,Jordan,98,IB Scie
358476,Data Science & Artificial Intelligence,Male,Jordan,91,SAT2 Sci.
358740,Data Science & Artificial Intelligence,Female,U.A.E,98,Scientific
365274,Data Science & Artificial Intelligence,Female,U.A.E,95,Scientific
367166,Data Science & Artificial Intelligence,Female,Jordan,90,SAT2 Sci.
360269,Data Science & Artificial Intelligence,Female,Qatar,96,IB Scie
366022,Data Science & Artificial Intelligence,Male,Jordan,86,Scientific
366121,Data Science & Artificial Intelligence,Male,Jordan,89,GCE Sci
359917,Data Science & Artificial Intelligence,Male,U.A.E,90,IB Scie
361985,Data Science & Artificial Intelligence,Male,Jordan,93,Scientific
359730,Data Science & Artificial Intelligence,Female,Jordan,84,GCE Sci
360698,Data Science & Artificial Intelligence,Male,K.S.A,82,Scientific
361479,Data Science & Artificial Intelligence,Female,Qatar,99,Scientific
359763,Data Science & Artificial Intelligence,Male,Jordan,95,SAT2 Sci.
359873,Data Science & Artificial Intelligence,Female,Jordan,73,Scientific
360918,Data Science & Artificial Intelligence,Female,U.A.E,93,Literary
360214,Data Science & Artificial Intelligence,Female,Jordan,87,SAT2 Sci.
365219,Data Science & Artificial Intelligence,Female,U.A.E,92,Scientific
365263,Data Science & Artificial Intelligence,Female,U.A.E,97,Scientific
359939,Data Science & Artificial Intelligence,Male,Jordan,97,SAT2 Sci.
343406,Data Science & Artificial Intelligence,Female,Jordan,90,Scientific
362579,Data Science & Artificial Intelligence,Male,Qatar,88,Scientific
360753,Data Science & Artificial Intelligence,Male,U.A.E,93,Scientific
360907,Data Science & Artificial Intelligence,Female,K.S.A,94,Scientific
360731,Data Science & Artificial Intelligence,Female,Jordan,93,SAT2 Sci.
359631,Data Science & Artificial Intelligence,Female,Jordan,95,Scientific
361776,Data Science & Artificial Intelligence,Female,U.A.E,98,GCE Sci
365395,Data Science & Artificial Intelligence,Male,Palestine,95,Scientific
353735,Data Science & Artificial Intelligence,Male,Jordan,96,Scientific
